category_id,clc_code,clc_name,parent_code,query_terms,target_count,enabled,authority_source,reviewed
clc_r47,R47,护理学,R4,护理学|临床护理,40,true,cnki-hosted-clc-pdf-2012,true
clc_r49,R49,康复医学,R4,康复医学|康复治疗,40,true,cnki-hosted-clc-pdf-2012,true
clc_r493,R493,"医学康复（康复疗法）",R49,医学康复|康复疗法,40,true,cnki-hosted-clc-pdf-2012,true
clc_r51,R51,传染病,R5,传染病|感染性疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r52,R52,结核病,R5,结核病|结核,40,true,cnki-hosted-clc-pdf-2012,true
clc_r53,R53,寄生虫病,R5,寄生虫病|寄生虫感染,40,true,cnki-hosted-clc-pdf-2012,true
clc_r54,R54,"心脏、血管（循环系）疾病",R5,心血管疾病|循环系统疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r541,R541,心脏疾病,R54,心脏疾病|心脏病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r543,R543,血管疾病,R54,血管疾病|血管病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r544,R544,血压异常,R54,血压异常|高血压|低血压,40,true,cnki-hosted-clc-pdf-2012,true
clc_r55,R55,血液及淋巴系疾病,R5,血液疾病|淋巴系统疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r56,R56,呼吸系及胸部疾病,R5,呼吸系统疾病|胸部疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r561,R561,胸膜及胸腔疾病,R56,胸膜疾病|胸腔疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r562,R562,气管和支气管疾病,R56,气管疾病|支气管疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r563,R563,肺疾病,R56,肺疾病|肺病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r57,R57,消化系及腹部疾病,R5,消化系统疾病|腹部疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r571,R571,食管疾病,R57,食管疾病|食管病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r573,R573,胃疾病,R57,胃疾病|胃病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r574,R574,肠疾病,R57,肠疾病|肠病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r575,R575,肝及胆疾病,R57,肝病|胆囊疾病|胆道疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r58,R58,内分泌腺疾病及代谢病,R5,内分泌疾病|代谢病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r587,R587,胰岛疾病,R58,胰岛疾病|糖尿病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r59,R59,全身性疾病,R5,全身性疾病|系统性疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r6,R6,外科学,R,外科学|外科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r61,R61,外科手术学,R6,外科手术学|手术,40,true,cnki-hosted-clc-pdf-2012,true
clc_r617,R617,器官移植术,R61,器官移植|移植术,40,true,cnki-hosted-clc-pdf-2012,true
clc_r62,R62,"整形外科学（修复外科学）",R6,整形外科|修复外科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r63,R63,外科感染,R6,外科感染|术后感染,40,true,cnki-hosted-clc-pdf-2012,true
clc_r64,R64,创伤外科学,R6,创伤外科|创伤,40,true,cnki-hosted-clc-pdf-2012,true
clc_r644,R644,"烧伤及烫伤（灼伤）",R64,烧伤|烫伤|灼伤,40,true,cnki-hosted-clc-pdf-2012,true
clc_r65,R65,外科学各论,R6,外科学各论|专科外科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r651,R651,头部及神经外科学,R65,神经外科|颅脑外科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r654,R654,心脏血管和淋巴系外科学,R65,心血管外科|血管外科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r655,R655,胸部外科学,R65,胸外科|胸部外科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r656,R656,腹部外科学,R65,腹部外科|普通外科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r68,R68,"骨科学（运动系疾病、矫形外科学）",R6,骨科学|骨科|矫形外科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r69,R69,"泌尿科学（泌尿生殖系疾病）",R6,泌尿科学|泌尿系统疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r692,R692,肾疾病,R69,肾疾病|肾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r71,R71,妇产科学,R,妇产科学|妇产科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r714,R714,产科学,R71,产科学|产科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r72,R72,儿科学,R,儿科学|儿科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r722,R722,"新生儿、早产儿疾病",R72,新生儿疾病|早产儿疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r73,R73,肿瘤学,R,肿瘤学|肿瘤,40,true,cnki-hosted-clc-pdf-2012,true
clc_r734,R734,呼吸系肿瘤,R73,呼吸系统肿瘤|肺肿瘤,40,true,cnki-hosted-clc-pdf-2012,true
clc_r735,R735,消化系肿瘤,R73,消化系统肿瘤|胃肠肿瘤,40,true,cnki-hosted-clc-pdf-2012,true
clc_r74,R74,神经病学与精神病学,R,神经病学|精神病学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r749,R749,精神病学,R74,精神病学|精神障碍,40,true,cnki-hosted-clc-pdf-2012,true
clc_r75,R75,皮肤病学与性病学,R,皮肤病学|性病学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r7582,R758.2,变态反应性及中毒性皮肤病,R75,变态反应性皮肤病|中毒性皮肤病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r76,R76,耳鼻咽喉科学,R,耳鼻咽喉科学|耳鼻喉科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r77,R77,眼科学,R,眼科学|眼科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r775,R775,眼压与青光眼,R77,眼压|青光眼,40,true,cnki-hosted-clc-pdf-2012,true
clc_r78,R78,口腔科学,R,口腔科学|口腔医学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r8,R8,特种医学,R,特种医学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r81,R81,放射医学,R8,放射医学|放射诊疗,40,true,cnki-hosted-clc-pdf-2012,true
clc_r9,R9,药学,R,药学|药物学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r96,R96,药理学,R9,药理学|药物作用,40,true,cnki-hosted-clc-pdf-2012,true
clc_r97,R97,药品,R9,药品|药物,40,true,cnki-hosted-clc-pdf-2012,true

